lat,lon,counts
-53.1492254,-70.9325607,1
-47.7528524,-65.89824949041585,1
-45.8712883,-67.4942556,2
-45.39750525,170.1778918093833,1
-42.7710173,-65.054346,1
-39.82455735,-73.22857434646238,1
-39.8141262,-73.2459859,1
-39.0417446,-67.7816534,2
-38.9746371,-67.8435645,1
-38.9598578,-68.2380743,1
-38.7362611,-72.590546,1
-38.7291014,-72.629149,1
-38.0246409,-57.5640324,1
-37.3997146,-72.0091534,1
-36.852095,174.7631803,1
-36.5986096,144.6780052,1
-35.8335363,-71.535931,1
-35.5659688,-72.6004002,1
-35.1155766,-60.489771,1
-35.0452693,-57.9827892,1
-34.985368,-71.2393705,1
-34.9058916,-56.1913095,1
-34.8206946,-56.219292,1
-34.782660449999995,-58.41205396249154,1
-34.7759373,-71.7368871,1
-34.7434504,-58.3922439,1
-34.6406142,-58.6710595,1
-34.6115595,-58.3841265,1
-34.6075682,-58.4370894,2
-34.592836,-58.4346845,1
-34.1667863,-70.77562338503549,1
-34.0042781,-61.6054955,1
-33.8548157,151.2164539,1
-33.5382624,-70.5567083,1
-33.530816599999994,-70.54407548567474,1
-33.4377756,-70.6504502,2
-33.3824201,-70.7261064,1
-33.3590187,-70.7166334,1
-33.029532,-59.003693,1
-33.0244535,-71.5517636,1
-32.969959849999995,-60.61953245296445,1
-32.7962952,-70.5633616,3
-31.8407611,-68.7095826,1
-31.8405608,-64.5544625,1
-31.7613365,-71.3187697,1
-31.6257359,115.7002917,1
-31.466227,-68.5169207,1
-31.3692961,-64.27961305194123,1
-31.1908228,-59.901149318545706,2
-30.85610975,-64.99553151865247,1
-30.7054363,-69.1988222,1
-30.3154739,-61.1645076,2
-29.6423259,-53.2494005,1
-29.6320577,-54.1864908,2
-29.6152729,-54.1790311,2
-29.515627,-56.841496,1
-29.3373663,-49.7299648,1
-29.2995734,-55.7585442,1
-29.1684951,-51.1796197,2
-28.5865661,-52.2031474,1
-28.1676223,-65.3146987,1
-27.8332103,-54.0574959,1
-27.66577215,-67.03780565980402,2
-27.4889735,-58.8494194,1
-27.4035083,-55.949711812781445,2
-26.7501005,150.6228555674773,2
-26.7101787,-54.8142209,1
-26.1150943,-49.8035982,2
-25.9178745,-48.5805811,1
-25.5799108,27.1535413,1
-25.5494532,-54.6764874,1
-25.4295963,-49.2712724,1
-25.2665417,-57.4926928,1
-23.6573395,-46.5322504,1
-23.5506507,-46.6333824,2
-23.5304843,-47.1355473,1
-23.3194222,-46.2271903,1
-23.1513833,-52.0529697,1
-23.1033867,-47.2487005,1
-22.9319478,-43.1969954,1
-22.9110137,-43.2093727,1
-22.8217964,-47.267105,1
-22.5371881,-44.7752585,1
-21.7558619,-41.3326895,1
-21.200278,-42.865,1
-21.12374009896902,149.1916362829406,1
-20.8983851,-63.8180789,1
-20.711443,-48.53867,1
-20.6034476,-41.2033505,1
-20.286111,-49.202778,1
-19.959444,-43.415278,2
-19.8084764,-43.97676726776695,1
-19.0536414,-169.861341,1
-18.6118783,-65.1561042,1
-18.015704300000003,-70.25653405888035,1
-17.8462056,-64.6784808,1
-17.7948365,-68.7542685,1
-17.7683418,-63.1534231,1
-17.3552612,-66.187014,1
-17.0208213,-64.9303147,1
-16.4955455,-68.1336229,1
-16.44561445,-54.62350693449964,1
-16.3988667,-71.5369607,2
-16.2751212,-48.9742461,1
-15.884444,-40.559167,1
-15.156341050000002,167.05107047173,1
-15.0357754,-47.0561444,1
-13.7599129,-73.7641569,1
-13.7293645,-76.0134743,1
-13.1745176,-41.0642339,1
-12.9962639,-73.5805541,1
-12.7852116,-64.8853419,1
-12.0901768,-76.92233779667893,1
-12.0621065,-77.0365256,1
-11.7751615,-75.5000068,1
-11.6716822,-39.199412,1
-11.4714303,-39.7826316,1
-11.2982029,-67.7858482,6
-11.1391946,-58.6088547,1
-10.2872341,-36.5819262,1
-9.7343772,-38.1259256,1
-9.6830208,-36.3052699,1
-9.6733809,-37.1265481,2
-9.59842095,160.1485117018448,1
-9.535332,16.9364293,1
-9.4396414,-40.5103838,1
-9.1033375,13.174545441548965,1
-9.0744966,-78.593609,1
-8.8159644,-35.1831905,1
-8.7995137,-140.0365555,1
-8.7053941,159.1070693851845,1
-8.6810287,115.1526684,1
-8.6711529,116.3793433,1
-8.4841934,140.39497719436147,1
-8.1602862,115.0286884,1
-8.1090274,15.9693173,1
-7.9188711,-78.7049478,1
-7.7818122,-79.2000049,1
-7.079691,131.9136251,1
-7.015343,-37.5033009,1
-6.923862,-37.095436,1
-6.803828,-35.077569,1
-6.7711315,-37.7988646,2
-5.5168706,-36.7688041,1
-5.272076,-41.2576104,1
-5.0720714,35.8213948,1
-5.065268,-73.8565256,1
-4.8339574,-42.1739786,1
-4.5687989,-44.6003029,1
-4.3515071,139.1804897,1
-4.0187761,-80.0344099,2
-3.7304512,-38.5217989,1
-3.6440652,-78.5983227,1
-3.3838711,38.3635795,1
-3.214786,-64.8143124,1
-2.5295265,-44.2963942,1
-2.1234818,-79.86252098553652,2
-1.5107945,-48.6190679,2
-1.45056,-48.4682453,1
-0.876537,-48.64043226749423,1
-0.6944813,-90.3249218,1
-0.62881505,-90.3638752022324,3
-0.4984664,-78.5506308,1
-0.4374747,-79.8071766,1
-0.2997536,-78.4472886,2
-0.2545091,-78.5608151,2
-0.2530013,-78.5468262,1
0.2500086,-70.7500086,1
0.3389242,6.7313031,3
0.3708461,-76.58799472376806,1
0.6736481,-80.0334263,1
0.76350865,9.773084157049418,1
2.3234842,-78.6270711,1
2.3381983,30.8922883,1
3.1232266,101.72689776646791,1
3.1516964,101.6942371,1
3.4158283,30.9592959,1
3.7279334,-75.6403971,2
3.771515,-59.602464,1
4.3907153,18.5509126,1
4.50020205,-74.11551115686629,1
4.561789,-74.1062406,1
4.6533326,-74.083652,1
4.72758275,-73.60365702529737,1
4.800164349999999,-75.73680736293956,1
4.8194957,-75.70087689879557,1
4.998398699999999,-73.12033660522744,1
5.00007345,-2.6485888833300963,1
5.014152,-6.940223716273168,1
5.0322447,7.924791,1
5.051388,-75.4853972,1
5.1514125,-73.17051515322876,1
5.333050699999999,-74.0667830206625,1
5.751116,-73.6657444,1
6.0123632,-73.6729598,1
6.2443382,-75.573553,1
6.43070575,-74.94080256175135,2
6.4550575,3.3941795,1
6.4990718,2.6253361,1
7.07756515,-75.29439464517998,1
7.65163785,-80.31489041885015,1
7.986170850000001,-75.63005283664165,2
8.1751298,-62.9079295,1
8.1926164,-81.78162140699564,1
8.22065095,-80.82284652793044,1
8.3344713,-75.6666238,1
8.5333468,-12.327074,1
8.7265794,-80.2193841,1
8.7457559,-73.7723793,1
9.257216,-68.8647096,1
9.7135138,125.6548943,1
9.9166102,-85.4217172,1
9.9325427,-84.0795782,2
10.02971,-67.4605394,1
10.081371,23.898481,1
10.1062939,123.6393625,1
10.1461885,-64.1119693,2
10.180594,44.673176,1
10.2095795,-66.4400447,1
10.2323091,-64.4365291,1
10.3065364,-85.8035409,2
10.3441844,-84.41820363830183,1
10.4195841,-75.5271224,1
10.4903807,-74.86683760095967,2
10.5291213,14.2105901,1
10.5390525,-67.22182660332874,1
10.61141915,-84.78789019329429,1
10.7666667,-74.1666667,1
11.0724172,122.6558905,1
11.3861664,42.5742801,1
11.9552725,6.922322,1
11.9923308,75.73070472235142,1
12.1459907,-86.2746665,1
12.15792455,-86.2459699985734,1
12.2800178,122.12725274260144,1
12.4642688,4.7004387,1
12.6,53.866667,1
12.9208,11.8606,2
13.1500331,-59.5250305,2
13.296665,44.222148,1
13.52749355,-88.73969856525022,1
13.6989939,-89.1914249,1
13.7260609,-89.2185548,2
13.7339733,-89.3801313,1
14.0648189,-87.1995806,1
14.1572647,122.1645333,1
14.339995,44.908741,1
14.3402281,121.0473124,3
14.5281407,121.0289573,1
14.5844444,29.4917691,2
14.71859215,120.91757085421554,1
14.8393011,-90.3545953,1
14.8971921,100.83273,1
15.0781219,120.9398068,2
15.0849072,120.4891327613712,1
15.11109265,-86.70201646061182,2
15.1889598,48.3970499,1
15.3389667,38.9326763,1
15.3503192,74.10178169795284,4
15.35238255,-86.83188848207004,1
15.4798239,120.9571994,1
15.5994821,-87.2084422,1
15.8890372,120.2384199,1
16.2490067,-61.5650444,2
16.5735957,120.4089899,2
16.6213629,-24.3551283,1
16.7417041,-62.1916844,2
16.7764752,-96.78385965636052,2
16.8874145,-24.9863842,1
16.976835,44.472504,1
17.0247264,-92.74723009318356,1
17.0619355,-96.6891152,1
17.0920157,-88.6118965,2
17.7356214,9.3238432,3
17.7459686,-100.8176923,1
17.9036287,-62.811568843006896,1
17.9388374,120.5151916,5
17.9799634,-66.0965092,1
18.0018152,-92.9330401483751,2
18.05552175,-66.7206374616328,1
18.1058754,77.5706319,1
18.1283511,-66.4925028,1
18.1491849,-65.8250136,1
18.2722389,-65.643565,1
18.2789962,-65.978635,1
18.3,42.733333,1
18.3605326,-70.4851649,1
18.3990551,-66.1560326,1
18.4466626,-66.0686837,2
18.4593799,-66.2615332,1
18.465299,-66.116666,3
18.468434,-67.035534,1
18.4801972,-69.942111,1
18.4906191,-69.7728727,1
18.4975148,-68.9766638,2
18.75,-99.0,1
18.833333,-98.0,1
18.9136465,-96.9659968,1
18.9580036,-99.2531289,2
19.1720021,-96.1421165,1
19.2402728,-70.02826810419197,1
19.25113375,-99.5937281303492,1
19.275185,-104.23148133333336,1
19.2982149,-70.252653,1
19.2983146,-70.2579996,1
19.3521712,-99.33108,1
19.397826,-99.1660549,1
19.3978271,-99.2402403,1
19.4072267,-99.0824631,2
19.5104407,-98.9973991,1
19.5716088,-102.4821733,2
19.5820464,-71.0461119,1
19.70771635,-101.56870167838488,2
19.9480922,99.87945678537508,1
20.0171109,103.378253,1
20.1926546,-100.8659931344002,2
20.2567954,-97.4290018073936,1
20.2872929,-76.7330184,1
20.3333331,-103.6666671,1
20.361667,-99.634167,1
20.5218445,-100.8139609,1
20.5320852,-97.4536355,1
20.5459209,-86.93108107289333,1
20.54810825,-101.3656228324851,1
20.5779441,-103.4383607,1
20.668056,-98.689167,1
20.6720375,-103.338396,3
20.7193686,-76.1940998,1
