city,lat,lon
Valencia,39.4697065,-0.3763353
Almeria,36.8414197,-2.4628135
Terrassa,41.5629623,2.0100492
Madrid,40.4167047,-3.7035825
Esplugues de llobregat,41.3776796,2.0899722
Palma de mallorca,39.5695818,2.6500745
San vicente del raspeig,38.3964248,-0.5250339
Murcia,37.9923795,-1.1305431
Benetússer,39.4228928,-0.3974783
Requena ,39.4880777,-1.1001643
Benahadux ,36.9251533,-2.460209
Talavera de la reina,39.9603798,-4.8311717
Almoradi,38.1096615,-0.7919322
Alcalá de guadaíra,37.3397709,-5.8408396
Pamplona,42.8184538,-1.6442556
Santander,43.4620412,-3.8099719
Sant joan despi,41.3667951,2.0570346
Lepe,37.2551712,-7.201556
Sevilla,37.3886303,-5.9953403
Albacete,38.9950921,-1.8559154
Torrox,36.760744,-3.9523663
Las rozas de madrid,40.4933095,-3.8758396
Torres de la alameda,40.4021516,-3.360625
Zaragoza ,41.6521342,-0.8809428
Tres cantos,40.6065826,-3.7065333
Aravaca-madrid,40.457749,-3.7827941
Alcalá de henares,40.4818396,-3.3644973
Oviedo ,43.3604218,-5.8450534
Jaen,37.9557275,-3.492055612037218
"Caridad, la (el franco)",43.5482632,-6.830058
Pesaguero ,43.0769294,-4.5386784
Elorrio,43.122359,-2.533007883378113
Cigales,41.7582863,-4.6989785
Palencia,42.409632200000004,-4.616100410293067
Santa olalla,40.024331,-4.4282433
Almeria ,36.8414197,-2.4628135
San lorenzo de el escorial,40.5926673,-4.1471642
Iurreta,43.1763178,-2.6338582
Burjassot,39.5090599,-0.4108581
Madrid ,40.4167047,-3.7035825
Lishui,31.6506882,119.0262399
Alcala de henares,40.4818396,-3.3644973
Torremolinos,36.6242841,-4.4995448
Grao gandia,38.9903649,-0.1618762
Villanueva de la serena,38.9736819,-5.8003669
Vila do conde,41.3580981,-8.7475631
Barcelona,41.3828939,2.1774322
Los garres,37.9564693,-1.0918432
Sant boi de llobregat,41.3459033,2.0413673
Merida,38.9174665,-6.3443977
Barcelona ,41.3828939,2.1774322
Jerez de la frontera,36.6816936,-6.1377402
Salou,41.0768193,1.1440411
Zaragoza,41.6521342,-0.8809428
Fuenlabrada,40.282476,-3.7923422
Valverde de leganés,38.6706374,-6.9808325
Altafulla,41.1422215,1.3745315
Navalcarnero,40.2877169,-4.014299
Torrevieja,37.9775416,-0.6828446
Sabadell,41.5421013,2.1138977
San sebastian de los reyes,40.5473698,-3.6260586
San juan de alicante,38.4014162,-0.4359957
Puerto real,36.5286856,-6.1902161
Malaga,36.7213028,-4.4216366
Cangas del narcea,43.1774374,-6.5499784
Vilanova i la geltrú,41.2241992,1.7256327
Barakaldo,43.29548,-2.9900933
Gijon,43.5449422,-5.66275
Sonseca,39.6788825,-3.9706745
Parets del valles,41.5729887,2.2329289
Soria,41.60125045,-2.721938035449954
Pozuelo de alarcon,40.4346528,-3.814834
Tarragona,41.1172364,1.2546057
San pedro del pinatar,37.8353328,-0.7916121
Ourense,42.1968459,-7.6114105
Málaga,36.7213028,-4.4216366
Sueca,39.2025604,-0.3111645
Castellón de la plana,39.9860347,-0.0377354
Puertollano,38.6852161,-4.1111749
Cadiz,36.5297438,-6.2928976
Hornachuelos,37.8341341,-5.2490384
Leganés ,40.3281942,-3.76527
Vigo,42.2376602,-8.7247205
Úbeda,38.0126888,-3.3719849
Mahon,39.8894819,4.2661641
Bocairent,38.7669181,-0.610892
Aviles,43.5554436,-5.9222466
Valdemoro,40.1888604,-3.67143
Pineda de mar,41.6276807,2.6898707
Castellon,40.25185675,-0.061505110105748245
Espinosa de la ribera,42.698254,-5.8141449
Tobarra,38.5942761,-1.6886456
San sebastian,43.3224219,-1.9838889
Paracuellos de jarama,40.5048527,-3.5317621
Calamocha,40.9198824,-1.299434
..sant joan d'alacant.,38.4014162,-0.4359957
Sarriguren,42.81017919999999,-1.5966313835454784
Almería,36.8414197,-2.4628135
Etxebarri,43.2474168,-2.8897724
Palos de la frontera,37.2277697,-6.8932258
Motilla del palancar,39.5629507,-1.9122236
Santa pola,38.1923641,-0.5555464
