product_id,Sales,Orders,name,cat1,cat2,cat3
36673,56735.98,928,Carticure Plus 30 Stick ,Salud,Huesos articulaciones y músculos,Colágeno
5036,53046.18,2091,Sesderma C-Vit Liposomal Serum 30 ml ,Cosmética y Belleza,Facial,Antiarrugas
7348,50149.93,2505,Pañales CHELINO LOVE Talla4 9-15 KG 34unidades,Infantil,Cambio de pañal,Pañales
7349,43939.060000000005,2692,Pañales CHELINO LOVE Talla3 4-10 KG 36unidades,Infantil,Cambio de pañal,Pañales
2789,39277.6,1233,Martiderm Proteoglicanos Fps 30 Ampollas,Cosmética y Belleza,Facial,Ampollas
27468,37737.93,571,Capricare 2 Leche de Cabra Leche Infantil de Continuacion 800 gr,Infantil,Alimentación infantil,Leches infantiles
15484,35508.3,1891,Bioderma Sensibio Agua Micelar ROJA 500 ml + 500 ml DUPLO,,,
43862,33818.92,2465,Dodot Sensitive Pañal Recien Nacido T2 34uds,Infantil,Cambio de pañal,Pañales
7347,33463.1,1487,Pañales CHELINO LOVE Talla5 13-18 KG 30unidades,Infantil,Cambio de pañal,Pañales
62078,32103.41,491,Kijimea Colon Irritable 84 Capsulas,Salud,Trastornos digestivos ,Colon irritable
76265,30570.31,466,Signasol Colageno Bebible 28 Ampollas 25ml,Salud,Belleza,piel
13109,30569.73,2770,Dodot Pañal Sensitive T1 2-5Kg 30Unds,Infantil,Cambio de pañal,Pañales
8079,28084.36,1091,Gynea Serelys Perimenopausia Menopausia Sofocontrol 60 Comprimidos,,,
4330,27495.71,544,Bioderma Matricium 30 monodosis de 1 ml,Cosmética y Belleza,Facial,Hidratantes
2786,27186.719999999998,746,Martiderm Proteoglicanos 30 Ampollas,Cosmética y Belleza,Facial,Ampollas
26085,27135.78,1054,Colágeno y Magnesio Formato Familiar 450 Comprimidos Ana Maria LaJusticia,Salud,Huesos articulaciones y músculos,Colágeno
50282,25295.0,774,Pañales Pingo Maxi T4 40 uds,Infantil,Cambio de pañal,Pañales
17938,23882.170000000002,535,Martiderm Photo Age 30 ampollas,Cosmética y Belleza,Facial,Ampollas
9130,23730.22,386,Inneov Densilogy Pack 3 Meses,,,
28743,23726.68,474,Gynea Gestagyn Men 60 Capsulas ,Salud,Fertilidad,Fertilidad y concepción
4679,21906.63,579,Retilut 60 Cápsulas Thea,Salud,Óptica,Salud ocular
7519,21680.52,813,Iraltone AGA 60 Cápsulas Densidad Capilar,Higiene y cuidado personal,Cabello,Anticaída
25602,21471.41,730,Oxicol 28 cápsulas,Salud,Problemas cardiovasculares y circulación,Colesterol
3934,21208.58,839,Sesderma C-vit Radiance Fluido Luminoso 50ml,Cosmética y Belleza,Facial,Hidratantes
2031,20595.97,505,Endocare Tensage Cream Tensor Facial Crema 50 ml,Cosmética y Belleza,Facial,Antiarrugas
9381,20067.010000000002,836,Sesderma Azelac RU Liposomal Serum 30ml,Cosmética y Belleza,Facial,Antimanchas
20362,20023.62,485,Epaplus Colageno + Hialuronico+ Magnesio Sabor Limon 332 g,,,
3846,19993.2,344,Trofolastin Reductor Cicatrices 4x30 5 Unidades,Salud,Botiquín,Quemaduras y cicatrices
76406,19802.23,335,Acondicionador de Pestañas Realash Orphica 3ml,Cosmética y Belleza,Ojos,Pestañas
34689,19428.47,412,Manosar 30 Sticks ,Salud,Aparato Urinario,cistitis
